COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,SEC_INT_REF,INV_COMPONENT,AMOUNT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,TAX_AMT,TAX_STRUCT_CD,TDS_STRUCT_CD,TDS_TAX_AMT,BU_UNIT,PLANT_SEQ,GROSS_AMT
2020-2021,L00028/20-21,28,2020-2021,A001/20-21,GROSS,3908388,null,02/05/2020 17:06:56,18,null,703510,CGST 9%@ SGST 9%,TDS 2.0%,78167.76,1,2,3908388
2020-2021,L00028/20-21,28,2020-2021,A001/20-21,CGST,351755,null,02/05/2020 17:06:56,18,null,703510,CGST 9%@ SGST 9%,TDS 2.0%,78167.76,1,2,3908388
2020-2021,L00028/20-21,28,2020-2021,A001/20-21,SGST,351755,null,02/05/2020 17:06:56,18,null,703510,CGST 9%@ SGST 9%,TDS 2.0%,78167.76,1,2,3908388
2020-2021,L00027/20-21,27,2020-2021,A001/20-21,GROSS,28045014,null,02/05/2020 17:04:54,18,null,5048102,CGST 9%@ SGST 9%,TDS 2.0%,560900.28,1,3,28045014
2020-2021,L00027/20-21,27,2020-2021,A001/20-21,CGST,2524051,null,02/05/2020 17:04:54,18,null,5048102,CGST 9%@ SGST 9%,TDS 2.0%,560900.28,1,3,28045014
2020-2021,L00027/20-21,27,2020-2021,A001/20-21,SGST,2524051,null,02/05/2020 17:04:54,18,null,5048102,CGST 9%@ SGST 9%,TDS 2.0%,560900.28,1,3,28045014
2020-2021,L00048/20-21,48,2020-2021,A001/20-21,GROSS,38794170,null,17/05/2020 14:13:29,18,null,7433896,CGST 9%@ SGST 9%,TDS 2.0%,825988.38,1,3,41299419
2020-2021,L00048/20-21,48,2020-2021,A001/20-21,CGST,3491475,null,17/05/2020 14:13:29,18,null,7433896,CGST 9%@ SGST 9%,TDS 2.0%,825988.38,1,3,41299419
2020-2021,L00048/20-21,48,2020-2021,A001/20-21,SGST,3491475,null,17/05/2020 14:13:29,18,null,7433896,CGST 9%@ SGST 9%,TDS 2.0%,825988.38,1,3,41299419
2020-2021,L00029/20-21,29,2020-2021,A001/20-21,GROSS,3159071,null,05/05/2020 21:16:48,18,null,568632,CGST 9%@ SGST 9%,TDS 2.0%,63181.42,1,9,3159071
2020-2021,L00029/20-21,29,2020-2021,A001/20-21,CGST,284316,null,05/05/2020 21:16:48,18,null,568632,CGST 9%@ SGST 9%,TDS 2.0%,63181.42,1,9,3159071
2020-2021,L00029/20-21,29,2020-2021,A001/20-21,SGST,284316,null,05/05/2020 21:16:48,18,null,568632,CGST 9%@ SGST 9%,TDS 2.0%,63181.42,1,9,3159071
2019-2020,00260/19-20,260,2019-2020,A005/2019-20,GROSS,42372882,null,16/07/2019 14:38:26,18,null,10116456,CGST 9%@ SGST 9%,TDS 3.5%,1967088.655,1,1,56202533
2019-2020,00260/19-20,260,2019-2020,A005/2019-20,CGST,3813559,null,16/07/2019 14:38:26,18,null,10116456,CGST 9%@ SGST 9%,TDS 3.5%,1967088.655,1,1,56202533
2019-2020,00260/19-20,260,2019-2020,A005/2019-20,SGST,3813559,null,16/07/2019 14:38:26,18,null,10116456,CGST 9%@ SGST 9%,TDS 3.5%,1967088.655,1,1,56202533
2019-2020,00135/19-20,135,2019-2020,A002/2019-20,GROSS,34242903,null,17/05/2019 17:08:28,18,null,6163722,CGST 9%@ SGST 9%,TDS 2.0%,684858.06,1,1,34242903
2019-2020,00135/19-20,135,2019-2020,A002/2019-20,CGST,3081861,null,17/05/2019 17:08:28,18,null,6163722,CGST 9%@ SGST 9%,TDS 2.0%,684858.06,1,1,34242903
2019-2020,00135/19-20,135,2019-2020,A002/2019-20,SGST,3081861,null,17/05/2019 17:08:28,18,null,6163722,CGST 9%@ SGST 9%,TDS 2.0%,684858.06,1,1,34242903
2019-2020,00171/19-20,171,2019-2020,A002/2019-20,GROSS,88131531,null,01/06/2019 14:26:02,18,null,15863676,CGST 9%@ SGST 9%,TDS 2.0%,1762630.62,1,1,88131531
2019-2020,00171/19-20,171,2019-2020,A002/2019-20,CGST,7931838,null,01/06/2019 14:26:02,18,null,15863676,CGST 9%@ SGST 9%,TDS 2.0%,1762630.62,1,1,88131531
2019-2020,00171/19-20,171,2019-2020,A002/2019-20,SGST,7931838,null,01/06/2019 14:26:02,18,null,15863676,CGST 9%@ SGST 9%,TDS 2.0%,1762630.62,1,1,88131531
