COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,PLANT_SEQ,INVOICE_NO,INVOICE_SEQ,DR_CR_REF_NO,DR_CR_NO,DR_CR_FIN_YR,INVOICE_DT,FREQ,PERIOD_START_DT,PERIOD_END_DT,INV_DUE_DT,INT_RATE_TYPE,INT_RATE,INT_AMT,REMARK,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,INVOICE_ID_SEQ,PAY_RECV_AMT,PAY_RECV_DT,PAY_REMARK,PAY_UPDATE_CNT,PAY_UPDATE_DT,PAY_INSERT_DT,PAY_INSERT_BY,PAY_UPDATE_BY,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,PRINT_BY_TRI,PRINT_DT_TRI,PRINT_BY_DUP,PRINT_DT_DUP,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,CRITERIA,TOTAL_AMT,DR_CR_FLAG,TOTAL_GROSS,TOTAL_TAX,DR_CR_SEQ,DR_CR_DUE_DT,DR_CR_DT,CARGO_NO,INV_FLAG,BU_CONTACT_PERSON_CD,CONTACT_PERSON_CD,FIN_SYS
RIL,2021-2022,C-1-8-6-0,8,0,6,0,O,1,0,9,L00036/21-22,36,C0002/21-22,C0002/21-22,2021-2022,13/05/2021 00:00:00,null,01/05/2021 00:00:00,31/05/2021 00:00:00,19/05/2021 00:00:00,null,null,null, [change in Address : Dahej Manufacturing Division_P.O. Dahej_ Taluka Vagra_ Dist. Bharuch Dahej 392130->Reliance Industries Limited Village Meghpar/Padana_ Taluka - Lalpur_ Dist Jamnagar_ - 361280] ,Y,6,13/05/2021 00:00:00,null,null,null,Y,36,17/05/2021 00:00:00,23,17/05/2021 00:00:00,36,null,null,null,null,null,null,null,null,T,49,13/05/2021 00:00:00,49,13/05/2021 00:00:00,49,13/05/2021 00:00:00,Y,85,02/06/2021 00:00:00,10,2002333.51,CR,null,541566,null,null,15/05/2021 00:00:00,null,X,0,jyotindra.chavada@ril.com,S
RIL,2019-2020,L-1-1-0,1,0,1,0,L,1,0,15,0115/19-20,115,D018/19-20,D018/19-20,2019-2020,15/02/2020 00:00:00,null,03/02/2020 00:00:00,15/02/2020 00:00:00,24/02/2020 00:00:00,null,null,null,Change in Exchange rate - 71.925 Rs/$,Y,36,17/02/2020 00:00:00,null,null,null,Y,36,25/02/2020 00:00:00,23,25/02/2020 00:00:00,115,302976,24/02/2020 00:00:00,RTGS,null,null,26/04/2021 00:00:00,28,null,T,23,17/02/2020 00:00:00,23,17/02/2020 00:00:00,23,26/02/2020 00:00:00,null,null,null,1,97644.68,DR,297035,706200.99,null,null,24/02/2020 00:00:00,null,Y,0,Ganti.Sastry@ril.com,null
RIL,2016-2017,C-1-3-3-0,3,0,3,0,O,1,0,2,0001@2016-2017,1,null,null,2016-2017,16/04/2016 00:00:00,null,01/04/2016 00:00:00,14/04/2016 00:00:00,22/04/2016 00:00:00,null,null,null,null,Y,22,16/04/2016 00:00:00,null,null,null,Y,null,null,27,18/04/2016 00:00:00,1,null,null,null,null,null,null,null,null,T,null,null,null,null,null,null,null,null,null,1,19978.81,DR,2876.95,417.16,null,null,18/04/2016 00:00:00,null,Y,0,satish.D.panchal@ril.com,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,2,0228@2016-2017,228,0001/16-17,0001/16-17,2016-2017,31/07/2016 00:00:00,null,16/07/2016 00:00:00,24/07/2016 00:00:00,05/08/2016 00:00:00,null,null,null,null,Y,27,02/08/2016 00:00:00,null,null,null,Y,26,03/08/2016 00:00:00,23,03/08/2016 00:00:00,228,null,null,null,null,null,null,null,null,T,null,null,null,null,null,null,Y,9,10/08/2016 00:00:00,10,437363.66,CR,650169.9,3515091.73,null,05/08/2016 00:00:00,31/07/2016 00:00:00,null,X,0,satish.D.panchal@ril.com,S
RIL,2020-2021,C-1-8-2-0,8,0,2,0,O,1,0,1,L00528/20-21,528,C0005/20-21,C0005/20-21,2020-2021,15/03/2021 00:00:00,null,01/03/2021 00:00:00,04/03/2021 00:00:00,22/03/2021 00:00:00,null,null,null, [change in Address : Accounts Payable_ Module 3 CU 05_ Fosberry Road_ Off Reay Road Station East_ Mumbai_ 400033->Reliance Industries Limited Patalganga Manufacturing Division_ B-4 MIDC Industrial Area_ Dist. Raigad Patalganga_ - 400021] ,Y,6,17/03/2021 00:00:00,null,null,null,Y,36,19/03/2021 00:00:00,49,19/03/2021 00:00:00,528,null,null,null,null,null,null,null,null,D,49,17/03/2021 00:00:00,null,null,23,17/03/2021 00:00:00,Y,85,30/03/2021 00:00:00,10,31509.29,CR,null,320844,null,null,19/03/2021 00:00:00,null,X,0,Tarkeshwar.Seth@ril.com,S
RIL,2017-2018,C-1-4-16-0,4,0,16,0,O,1,0,2,0145@2017-2018,145,0004/17-18,0004/17-18,2017-2018,15/06/2017 00:00:00,null,10/06/2017 00:00:00,15/06/2017 00:00:00,21/06/2017 00:00:00,null,null,null,invoice quantity not as actual quantity allocated,Y,6,16/06/2017 00:00:00,null,null,null,Y,15,19/06/2017 00:00:00,23,19/06/2017 00:00:00,145,null,null,null,null,null,null,null,null,T,23,16/06/2017 00:00:00,23,16/06/2017 00:00:00,23,16/06/2017 00:00:00,Y,9,20/06/2017 00:00:00,10,40568.57,CR,2087009.52,313051.43,null,21/06/2017 00:00:00,15/06/2017 00:00:00,null,X,0,satish.D.panchal@ril.com,S
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,3,0229@2016-2017,229,0002/16-17,0002/16-17,2016-2017,31/07/2016 00:00:00,null,16/07/2016 00:00:00,24/07/2016 00:00:00,05/08/2016 00:00:00,null,null,null,null,Y,27,01/08/2016 00:00:00,null,null,null,Y,26,03/08/2016 00:00:00,23,03/08/2016 00:00:00,229,null,null,null,null,null,null,null,null,T,null,null,null,null,null,null,Y,9,10/08/2016 00:00:00,10,235062.67,CR,1833807.86,null,null,05/08/2016 00:00:00,31/07/2016 00:00:00,null,X,0,Jayesh.K.Pandya@ril.com,S
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,5,0230@2016-2017,230,0003/16-17,0003/16-17,2016-2017,31/07/2016 00:00:00,null,16/07/2016 00:00:00,24/07/2016 00:00:00,05/08/2016 00:00:00,null,null,null,null,Y,27,01/08/2016 00:00:00,null,null,null,Y,26,03/08/2016 00:00:00,23,03/08/2016 00:00:00,230,null,null,null,null,null,null,null,null,T,null,null,null,null,null,null,Y,9,10/08/2016 00:00:00,10,136353,CR,1261118.74,1095869.06,null,05/08/2016 00:00:00,31/07/2016 00:00:00,null,X,0,Kajal.Goswami@ril.com,S
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,9,0239@2016-2017,239,0004/16-17,0004/16-17,2016-2017,31/07/2016 00:00:00,null,16/07/2016 00:00:00,24/07/2016 00:00:00,05/08/2016 00:00:00,null,null,null,null,Y,27,02/08/2016 00:00:00,null,null,null,Y,26,03/08/2016 00:00:00,23,03/08/2016 00:00:00,239,null,null,null,null,null,null,null,null,T,null,null,null,null,null,null,Y,9,10/08/2016 00:00:00,10,1298493,CR,49380054.94,null,null,05/08/2016 00:00:00,31/07/2016 00:00:00,null,X,0,jyotindra.chavada@ril.com,S
RIL,2017-2018,C-1-4-15-0,4,0,15,0,O,1,0,2,0137@2017-2018,137,0003/17-18,0003/17-18,2017-2018,15/06/2017 00:00:00,null,02/06/2017 00:00:00,15/06/2017 00:00:00,21/06/2017 00:00:00,null,null,null,invoice quantity not as actual allocated,Y,6,16/06/2017 00:00:00,null,null,null,Y,15,19/06/2017 00:00:00,23,19/06/2017 00:00:00,137,null,null,null,null,null,null,null,null,T,23,16/06/2017 00:00:00,23,16/06/2017 00:00:00,23,16/06/2017 00:00:00,Y,9,20/06/2017 00:00:00,10,472513.19,CR,24307968.55,3646195.28,null,21/06/2017 00:00:00,15/06/2017 00:00:00,null,X,0,satish.D.panchal@ril.com,S
