

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(26-FEB-2025 10:16:02)
2,4,11,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,4,11,R,2, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,4,12,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,4,13,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,1,R,4, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,1,R,5, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,1,R,6, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,1,R,7, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,1,R,8, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,2,R,2, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,2,R,3, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,2,R,4, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,3,R,3, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,3,R,4, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,3,R,5, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,5,R,3, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,5,R,4, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,5,R,5, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,9,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,9,R,2, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,10,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,11,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,12,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)
2,29,13,R,1, 	(26-FEB-2025 10:16:02)	 (Not Deleted)

TOTAL DATA DELETED : ,49,,,, 	(26-FEB-2025 10:16:02)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(26-FEB-2025 10:16:02)
 

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_PLANT_TAX()>>,,,, 	(26-FEB-2025 10:16:53)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2,1,C,1,1001, 	(26-FEB-2025 10:16:53)
2,1,C,1,1003, 	(26-FEB-2025 10:16:53)
2,1,C,2,1003, 	(26-FEB-2025 10:16:53)
2,1,C,2,1004, 	(26-FEB-2025 10:16:53)
2,1,C,2,1005, 	(26-FEB-2025 10:16:53)
2,1,C,2,1001, 	(26-FEB-2025 10:16:53)
2,1,C,3,1001, 	(26-FEB-2025 10:16:53)
2,1,C,3,1005, 	(26-FEB-2025 10:16:53)
2,1,C,3,1004, 	(26-FEB-2025 10:16:53)
2,1,C,3,1003, 	(26-FEB-2025 10:16:53)
2,1,C,4,1003, 	(26-FEB-2025 10:16:53)
2,1,C,4,1001, 	(26-FEB-2025 10:16:53)
2,1,C,5,1001, 	(26-FEB-2025 10:16:53)
2,1,C,5,1003, 	(26-FEB-2025 10:16:53)
2,1,C,6,1004, 	(26-FEB-2025 10:16:53)
2,1,C,6,1005, 	(26-FEB-2025 10:16:53)
2,1,C,6,1001, 	(26-FEB-2025 10:16:53)
2,1,C,7,1001, 	(26-FEB-2025 10:16:53)
2,1,C,7,1003, 	(26-FEB-2025 10:16:53)
2,1,C,8,1004, 	(26-FEB-2025 10:16:53)
2,1,C,8,1003, 	(26-FEB-2025 10:16:53)
2,1,C,8,1001, 	(26-FEB-2025 10:16:53)
2,1,C,9,1003, 	(26-FEB-2025 10:16:53)
2,1,C,9,1001, 	(26-FEB-2025 10:16:53)
2,1,C,10,1001, 	(26-FEB-2025 10:16:53)
2,1,C,11,1001, 	(26-FEB-2025 10:16:53)
2,1,C,12,1001, 	(26-FEB-2025 10:16:53)
2,1,C,13,1001, 	(26-FEB-2025 10:16:53)
2,1,C,13,1003, 	(26-FEB-2025 10:16:53)
2,1,C,14,1001, 	(26-FEB-2025 10:16:53)
2,1,C,14,1003, 	(26-FEB-2025 10:16:53)
2,1,C,15,1001, 	(26-FEB-2025 10:16:53)
2,1,C,15,1004, 	(26-FEB-2025 10:16:53)
2,1,C,16,1001, 	(26-FEB-2025 10:16:53)
2,1,C,16,1004, 	(26-FEB-2025 10:16:53)
2,1,C,17,1001, 	(26-FEB-2025 10:16:53)
2,1,C,17,1004, 	(26-FEB-2025 10:16:53)
2,2,C,1,1004, 	(26-FEB-2025 10:16:53)
2,2,C,1,1001, 	(26-FEB-2025 10:16:53)
2,3,C,1,1003, 	(26-FEB-2025 10:16:53)
2,3,C,1,1006, 	(26-FEB-2025 10:16:53)
2,3,C,1,1005, 	(26-FEB-2025 10:16:53)
2,3,C,1,1001, 	(26-FEB-2025 10:16:53)
2,3,C,1,1004, 	(26-FEB-2025 10:16:53)
2,3,C,2,1001, 	(26-FEB-2025 10:16:53)
2,3,C,2,1004, 	(26-FEB-2025 10:16:53)
2,3,C,2,1005, 	(26-FEB-2025 10:16:53)
2,3,C,3,1001, 	(26-FEB-2025 10:16:53)
2,3,C,3,1004, 	(26-FEB-2025 10:16:53)
2,3,C,3,1005, 	(26-FEB-2025 10:16:53)
2,4,C,1,1004, 	(26-FEB-2025 10:16:53)
2,4,C,1,1005, 	(26-FEB-2025 10:16:53)
2,4,C,1,1003, 	(26-FEB-2025 10:16:53)
2,4,C,1,1001, 	(26-FEB-2025 10:16:53)
2,4,C,2,1006, 	(26-FEB-2025 10:16:53)
2,4,C,2,1004, 	(26-FEB-2025 10:16:53)
2,4,C,2,1001, 	(26-FEB-2025 10:16:53)
2,4,C,3,1001, 	(26-FEB-2025 10:16:53)
2,4,C,3,1005, 	(26-FEB-2025 10:16:53)
2,4,C,4,1001, 	(26-FEB-2025 10:16:53)
2,4,C,4,1006, 	(26-FEB-2025 10:16:53)
2,4,C,4,1004, 	(26-FEB-2025 10:16:53)
2,4,C,4,1005, 	(26-FEB-2025 10:16:53)
2,4,C,5,1001, 	(26-FEB-2025 10:16:53)
2,4,C,5,1006, 	(26-FEB-2025 10:16:53)
2,4,C,6,1001, 	(26-FEB-2025 10:16:53)
2,4,C,6,1006, 	(26-FEB-2025 10:16:53)
2,4,C,6,1003, 	(26-FEB-2025 10:16:53)
2,4,C,6,1005, 	(26-FEB-2025 10:16:53)
2,4,C,7,1001, 	(26-FEB-2025 10:16:53)
2,4,C,7,1004, 	(26-FEB-2025 10:16:53)
2,4,C,8,1004, 	(26-FEB-2025 10:16:53)
2,4,C,8,1001, 	(26-FEB-2025 10:16:53)
2,217,C,1,1005, 	(26-FEB-2025 10:16:53)
2,217,C,1,1004, 	(26-FEB-2025 10:16:53)
2,5,C,2,1001, 	(26-FEB-2025 10:16:53)
2,5,C,2,1006, 	(26-FEB-2025 10:16:53)
2,5,C,2,1005, 	(26-FEB-2025 10:16:53)
2,5,C,2,1004, 	(26-FEB-2025 10:16:53)
2,5,C,3,1001, 	(26-FEB-2025 10:16:53)
2,5,C,3,1006, 	(26-FEB-2025 10:16:53)
2,5,C,3,1004, 	(26-FEB-2025 10:16:53)
2,5,C,4,1006, 	(26-FEB-2025 10:16:53)
2,5,C,4,1004, 	(26-FEB-2025 10:16:53)
2,5,C,4,1001, 	(26-FEB-2025 10:16:53)
2,5,C,5,1001, 	(26-FEB-2025 10:16:53)
2,5,C,5,1006, 	(26-FEB-2025 10:16:53)
2,5,C,5,1004, 	(26-FEB-2025 10:16:53)
2,5,C,6,1004, 	(26-FEB-2025 10:16:53)
2,5,C,6,1006, 	(26-FEB-2025 10:16:53)
2,5,C,6,1001, 	(26-FEB-2025 10:16:53)
2,6,C,1,1003, 	(26-FEB-2025 10:16:53)
2,6,C,1,1001, 	(26-FEB-2025 10:16:53)
2,6,C,1,1005, 	(26-FEB-2025 10:16:53)
2,7,C,1,1005, 	(26-FEB-2025 10:16:53)
2,7,C,1,1003, 	(26-FEB-2025 10:16:53)
2,7,C,1,1004, 	(26-FEB-2025 10:16:53)
2,7,C,1,1001, 	(26-FEB-2025 10:16:53)
2,8,C,1,1001, 	(26-FEB-2025 10:16:53)
2,8,C,1,1003, 	(26-FEB-2025 10:16:53)
2,8,C,1,1005, 	(26-FEB-2025 10:16:53)
2,8,C,1,1004, 	(26-FEB-2025 10:16:53)
2,284,C,1,1004, 	(26-FEB-2025 10:16:53)
2,249,C,1,1004, 	(26-FEB-2025 10:16:53)
2,9,C,1,1004, 	(26-FEB-2025 10:16:53)
2,225,C,1,1004, 	(26-FEB-2025 10:16:53)
2,11,C,1,1003, 	(26-FEB-2025 10:16:53)
2,11,C,1,1006, 	(26-FEB-2025 10:16:53)
2,11,C,1,1001, 	(26-FEB-2025 10:16:53)
2,11,C,1,1005, 	(26-FEB-2025 10:16:53)
2,11,C,1,1004, 	(26-FEB-2025 10:16:53)
2,12,C,1,1005, 	(26-FEB-2025 10:16:53)
2,12,C,1,1001, 	(26-FEB-2025 10:16:53)
2,12,C,1,1004, 	(26-FEB-2025 10:16:53)
2,13,C,1,1004, 	(26-FEB-2025 10:16:53)
2,13,C,1,1005, 	(26-FEB-2025 10:16:53)
2,13,C,1,1001, 	(26-FEB-2025 10:16:53)
2,13,C,2,1006, 	(26-FEB-2025 10:16:53)
2,13,C,2,1004, 	(26-FEB-2025 10:16:53)
2,13,C,2,1005, 	(26-FEB-2025 10:16:53)
2,13,C,2,1001, 	(26-FEB-2025 10:16:53)
2,13,C,3,1001, 	(26-FEB-2025 10:16:53)
2,13,C,3,1004, 	(26-FEB-2025 10:16:53)
2,13,C,3,1005, 	(26-FEB-2025 10:16:53)
2,13,C,4,1006, 	(26-FEB-2025 10:16:53)
2,13,C,4,1001, 	(26-FEB-2025 10:16:53)
2,13,C,4,1004, 	(26-FEB-2025 10:16:53)
2,13,C,5,1004, 	(26-FEB-2025 10:16:53)
2,13,C,5,1001, 	(26-FEB-2025 10:16:53)
2,13,C,5,1006, 	(26-FEB-2025 10:16:53)
2,13,C,6,1001, 	(26-FEB-2025 10:16:53)
2,13,C,6,1004, 	(26-FEB-2025 10:16:53)
2,14,C,1,1006, 	(26-FEB-2025 10:16:53)
2,14,C,1,1001, 	(26-FEB-2025 10:16:53)
2,14,C,1,1004, 	(26-FEB-2025 10:16:53)
2,14,C,1,1005, 	(26-FEB-2025 10:16:53)
2,14,C,2,1001, 	(26-FEB-2025 10:16:53)
2,14,C,2,1005, 	(26-FEB-2025 10:16:53)
2,14,C,2,1004, 	(26-FEB-2025 10:16:53)
2,14,C,3,1001, 	(26-FEB-2025 10:16:53)
2,14,C,3,1004, 	(26-FEB-2025 10:16:53)
2,14,C,3,1005, 	(26-FEB-2025 10:16:53)
2,14,C,3,1006, 	(26-FEB-2025 10:16:53)
2,14,C,4,1004, 	(26-FEB-2025 10:16:53)
2,14,C,4,1005, 	(26-FEB-2025 10:16:53)
2,14,C,4,1003, 	(26-FEB-2025 10:16:53)
2,14,C,4,1001, 	(26-FEB-2025 10:16:53)
2,14,C,4,1006, 	(26-FEB-2025 10:16:53)
2,15,C,1,1006, 	(26-FEB-2025 10:16:53)
2,15,C,1,1005, 	(26-FEB-2025 10:16:53)
2,15,C,1,1003, 	(26-FEB-2025 10:16:53)
2,15,C,1,1001, 	(26-FEB-2025 10:16:53)
2,15,C,1,1004, 	(26-FEB-2025 10:16:53)
2,15,C,2,1004, 	(26-FEB-2025 10:16:53)
2,15,C,2,1003, 	(26-FEB-2025 10:16:53)
2,15,C,2,1005, 	(26-FEB-2025 10:16:53)
2,15,C,2,1001, 	(26-FEB-2025 10:16:53)
2,15,C,3,1005, 	(26-FEB-2025 10:16:53)
2,15,C,3,1001, 	(26-FEB-2025 10:16:53)
2,15,C,4,1005, 	(26-FEB-2025 10:16:53)
2,15,C,4,1003, 	(26-FEB-2025 10:16:53)
2,15,C,4,1006, 	(26-FEB-2025 10:16:53)
2,15,C,4,1001, 	(26-FEB-2025 10:16:53)
2,15,C,4,1004, 	(26-FEB-2025 10:16:53)
2,15,C,5,1006, 	(26-FEB-2025 10:16:53)
2,15,C,5,1004, 	(26-FEB-2025 10:16:53)
2,15,C,5,1001, 	(26-FEB-2025 10:16:53)
2,18,C,1,1003, 	(26-FEB-2025 10:16:53)
2,18,C,1,1001, 	(26-FEB-2025 10:16:53)
2,18,C,1,1005, 	(26-FEB-2025 10:16:53)
2,18,C,2,1001, 	(26-FEB-2025 10:16:53)
2,18,C,2,1006, 	(26-FEB-2025 10:16:53)
2,18,C,2,1005, 	(26-FEB-2025 10:16:53)
2,228,C,1,1005, 	(26-FEB-2025 10:16:53)
2,228,C,1,1001, 	(26-FEB-2025 10:16:53)
2,228,C,1,1004, 	(26-FEB-2025 10:16:53)
2,228,C,2,1005, 	(26-FEB-2025 10:16:53)
2,228,C,2,1001, 	(26-FEB-2025 10:16:53)
2,228,C,2,1004, 	(26-FEB-2025 10:16:53)
2,160,C,1,1005, 	(26-FEB-2025 10:16:53)
2,160,C,1,1001, 	(26-FEB-2025 10:16:53)
2,160,C,1,1004, 	(26-FEB-2025 10:16:53)
2,160,C,2,1001, 	(26-FEB-2025 10:16:53)
2,19,C,2,1004, 	(26-FEB-2025 10:16:53)
2,19,C,2,1005, 	(26-FEB-2025 10:16:53)
2,19,C,2,1003, 	(26-FEB-2025 10:16:53)
2,19,C,2,1001, 	(26-FEB-2025 10:16:53)
2,19,C,2,1006, 	(26-FEB-2025 10:16:53)
2,20,C,1,1003, 	(26-FEB-2025 10:16:53)
2,20,C,1,1001, 	(26-FEB-2025 10:16:53)
2,20,C,1,1007, 	(26-FEB-2025 10:16:53)
2,20,C,1,1005, 	(26-FEB-2025 10:16:53)
2,20,C,2,1003, 	(26-FEB-2025 10:16:53)
2,20,C,2,1001, 	(26-FEB-2025 10:16:53)
2,20,C,2,1005, 	(26-FEB-2025 10:16:53)
2,20,C,2,1007, 	(26-FEB-2025 10:16:53)
2,20,C,4,1001, 	(26-FEB-2025 10:16:53)
2,20,C,4,1005, 	(26-FEB-2025 10:16:53)
2,20,C,4,1004, 	(26-FEB-2025 10:16:53)
2,20,T,1,1001, 	(26-FEB-2025 10:16:53)
2,20,T,2,1001, 	(26-FEB-2025 10:16:53)
2,286,C,1,1005, 	(26-FEB-2025 10:16:53)
2,286,C,1,1001, 	(26-FEB-2025 10:16:53)
2,286,C,2,1002, 	(26-FEB-2025 10:16:53)
2,286,C,2,1003, 	(26-FEB-2025 10:16:53)
2,286,C,2,1001, 	(26-FEB-2025 10:16:53)
2,286,C,2,1004, 	(26-FEB-2025 10:16:53)
2,286,C,2,1005, 	(26-FEB-2025 10:16:53)
2,286,C,3,1005, 	(26-FEB-2025 10:16:53)
2,286,C,3,1004, 	(26-FEB-2025 10:16:53)
2,286,C,3,1001, 	(26-FEB-2025 10:16:53)
2,286,C,3,1003, 	(26-FEB-2025 10:16:53)
2,286,C,4,1005, 	(26-FEB-2025 10:16:53)
2,286,C,4,1004, 	(26-FEB-2025 10:16:53)
2,286,C,4,1001, 	(26-FEB-2025 10:16:53)
2,286,C,5,1001, 	(26-FEB-2025 10:16:53)
2,286,C,5,1005, 	(26-FEB-2025 10:16:53)
2,286,C,6,1005, 	(26-FEB-2025 10:16:53)
2,286,C,6,1004, 	(26-FEB-2025 10:16:53)
2,286,C,6,1001, 	(26-FEB-2025 10:16:53)
2,286,C,7,1001, 	(26-FEB-2025 10:16:53)
2,286,C,7,1005, 	(26-FEB-2025 10:16:53)
2,286,C,7,1004, 	(26-FEB-2025 10:16:53)
2,286,C,8,1001, 	(26-FEB-2025 10:16:53)
2,286,C,8,1005, 	(26-FEB-2025 10:16:53)
2,286,C,8,1004, 	(26-FEB-2025 10:16:53)
2,286,C,9,1004, 	(26-FEB-2025 10:16:53)
2,286,C,9,1005, 	(26-FEB-2025 10:16:53)
2,286,C,9,1001, 	(26-FEB-2025 10:16:53)
2,286,C,10,1005, 	(26-FEB-2025 10:16:53)
2,286,C,10,1001, 	(26-FEB-2025 10:16:53)
2,286,C,10,1004, 	(26-FEB-2025 10:16:53)
2,286,C,11,1004, 	(26-FEB-2025 10:16:53)
2,286,C,11,1005, 	(26-FEB-2025 10:16:53)
2,286,C,11,1001, 	(26-FEB-2025 10:16:53)
2,286,C,11,1006, 	(26-FEB-2025 10:16:53)
2,286,T,1,1001, 	(26-FEB-2025 10:16:53)
2,286,T,2,1001, 	(26-FEB-2025 10:16:53)
2,286,T,3,1001, 	(26-FEB-2025 10:16:53)
2,286,T,4,1001, 	(26-FEB-2025 10:16:53)
2,21,C,1,1003, 	(26-FEB-2025 10:16:53)
2,21,C,1,1001, 	(26-FEB-2025 10:16:53)
2,21,C,1,1004, 	(26-FEB-2025 10:16:53)
2,21,C,1,1005, 	(26-FEB-2025 10:16:53)
2,21,C,3,1006, 	(26-FEB-2025 10:16:53)
2,21,C,3,1003, 	(26-FEB-2025 10:16:53)
2,21,C,3,1005, 	(26-FEB-2025 10:16:53)
2,21,C,3,1001, 	(26-FEB-2025 10:16:53)
2,21,C,5,1003, 	(26-FEB-2025 10:16:53)
2,21,C,5,1006, 	(26-FEB-2025 10:16:53)
2,21,C,5,1001, 	(26-FEB-2025 10:16:53)
2,21,C,5,1005, 	(26-FEB-2025 10:16:53)
2,22,C,1,1005, 	(26-FEB-2025 10:16:53)
2,22,C,1,1001, 	(26-FEB-2025 10:16:53)
2,22,C,2,1001, 	(26-FEB-2025 10:16:53)
2,22,C,2,1005, 	(26-FEB-2025 10:16:53)
2,22,C,3,1004, 	(26-FEB-2025 10:16:53)
2,22,C,3,1001, 	(26-FEB-2025 10:16:53)
2,22,C,3,1005, 	(26-FEB-2025 10:16:53)
2,22,C,3,1006, 	(26-FEB-2025 10:16:53)
2,23,C,1,1005, 	(26-FEB-2025 10:16:53)
2,23,C,1,1001, 	(26-FEB-2025 10:16:53)
2,23,C,1,1004, 	(26-FEB-2025 10:16:53)
2,23,C,1,1003, 	(26-FEB-2025 10:16:53)
2,23,C,2,1001, 	(26-FEB-2025 10:16:53)
2,23,C,2,1003, 	(26-FEB-2025 10:16:53)
2,23,C,2,1005, 	(26-FEB-2025 10:16:53)
2,23,C,2,1004, 	(26-FEB-2025 10:16:53)
2,23,C,3,1004, 	(26-FEB-2025 10:16:53)
2,23,C,3,1005, 	(26-FEB-2025 10:16:53)
2,23,C,3,1001, 	(26-FEB-2025 10:16:53)
2,23,C,4,1001, 	(26-FEB-2025 10:16:53)
2,23,C,4,1005, 	(26-FEB-2025 10:16:53)
2,23,C,4,1003, 	(26-FEB-2025 10:16:53)
2,23,C,4,1004, 	(26-FEB-2025 10:16:53)
2,24,C,1,1003, 	(26-FEB-2025 10:16:53)
2,24,C,1,1001, 	(26-FEB-2025 10:16:53)
2,25,C,1,1001, 	(26-FEB-2025 10:16:53)
2,25,C,1,1005, 	(26-FEB-2025 10:16:53)
2,25,C,1,1003, 	(26-FEB-2025 10:16:53)
2,26,C,1,1004, 	(26-FEB-2025 10:16:53)
2,26,C,1,1001, 	(26-FEB-2025 10:16:53)
2,26,C,1,1003, 	(26-FEB-2025 10:16:53)
2,26,C,2,1003, 	(26-FEB-2025 10:16:53)
2,26,C,2,1004, 	(26-FEB-2025 10:16:53)
2,26,C,2,1001, 	(26-FEB-2025 10:16:53)
2,26,C,3,1001, 	(26-FEB-2025 10:16:53)
2,26,C,3,1004, 	(26-FEB-2025 10:16:53)
2,26,C,3,1006, 	(26-FEB-2025 10:16:53)
2,27,C,1,1003, 	(26-FEB-2025 10:16:53)
2,27,C,1,1001, 	(26-FEB-2025 10:16:53)
2,27,C,1,1004, 	(26-FEB-2025 10:16:53)
2,27,C,2,1001, 	(26-FEB-2025 10:16:53)
2,27,C,2,1004, 	(26-FEB-2025 10:16:53)
2,27,C,2,1003, 	(26-FEB-2025 10:16:53)
2,27,C,3,1003, 	(26-FEB-2025 10:16:53)
2,27,C,3,1001, 	(26-FEB-2025 10:16:53)
2,27,C,3,1005, 	(26-FEB-2025 10:16:53)
2,28,C,1,1005, 	(26-FEB-2025 10:16:53)
2,28,C,1,1003, 	(26-FEB-2025 10:16:53)
2,28,C,1,1001, 	(26-FEB-2025 10:16:53)
2,29,C,1,1004, 	(26-FEB-2025 10:16:53)
2,29,C,1,1001, 	(26-FEB-2025 10:16:53)
2,29,C,2,1001, 	(26-FEB-2025 10:16:53)
2,29,C,2,1004, 	(26-FEB-2025 10:16:53)
2,29,C,3,1004, 	(26-FEB-2025 10:16:53)
2,29,C,3,1001, 	(26-FEB-2025 10:16:53)
2,29,C,4,1001, 	(26-FEB-2025 10:16:53)
2,29,C,4,1004, 	(26-FEB-2025 10:16:53)
2,29,C,5,1005, 	(26-FEB-2025 10:16:53)
2,29,C,5,1001, 	(26-FEB-2025 10:16:53)
2,29,C,6,1001, 	(26-FEB-2025 10:16:54)
2,29,C,6,1004, 	(26-FEB-2025 10:16:54)
2,29,C,7,1001, 	(26-FEB-2025 10:16:54)
2,29,C,8,1004, 	(26-FEB-2025 10:16:54)
2,29,C,8,1001, 	(26-FEB-2025 10:16:54)
2,29,C,9,1001, 	(26-FEB-2025 10:16:54)
2,29,C,9,1004, 	(26-FEB-2025 10:16:54)
2,29,C,10,1001, 	(26-FEB-2025 10:16:54)
2,29,C,10,1005, 	(26-FEB-2025 10:16:54)
2,29,C,10,1003, 	(26-FEB-2025 10:16:54)
2,29,C,11,1003, 	(26-FEB-2025 10:16:54)
2,29,C,11,1005, 	(26-FEB-2025 10:16:54)
2,29,C,11,1001, 	(26-FEB-2025 10:16:54)
2,30,C,1,1001, 	(26-FEB-2025 10:16:54)
2,30,C,1,1004, 	(26-FEB-2025 10:16:54)
2,30,C,1,1003, 	(26-FEB-2025 10:16:54)
2,30,C,2,1004, 	(26-FEB-2025 10:16:54)
2,30,C,2,1006, 	(26-FEB-2025 10:16:54)
2,30,C,2,1001, 	(26-FEB-2025 10:16:54)
2,30,C,3,1004, 	(26-FEB-2025 10:16:54)
2,30,C,3,1001, 	(26-FEB-2025 10:16:54)
2,30,C,3,1005, 	(26-FEB-2025 10:16:54)
2,30,C,3,1006, 	(26-FEB-2025 10:16:54)
2,31,C,1,1003, 	(26-FEB-2025 10:16:54)
2,31,C,1,1001, 	(26-FEB-2025 10:16:54)
2,32,C,1,1004, 	(26-FEB-2025 10:16:54)
2,32,C,1,1001, 	(26-FEB-2025 10:16:54)
2,32,C,1,1003, 	(26-FEB-2025 10:16:54)
2,32,C,2,1003, 	(26-FEB-2025 10:16:54)
2,32,C,2,1001, 	(26-FEB-2025 10:16:54)
2,32,C,2,1004, 	(26-FEB-2025 10:16:54)
2,197,C,1,1004, 	(26-FEB-2025 10:16:54)
2,197,C,1,1003, 	(26-FEB-2025 10:16:54)
2,197,C,1,1001, 	(26-FEB-2025 10:16:54)
2,197,C,1,1005, 	(26-FEB-2025 10:16:54)
2,197,C,1,1006, 	(26-FEB-2025 10:16:54)
2,254,C,1,1001, 	(26-FEB-2025 10:16:54)
2,254,C,1,1006, 	(26-FEB-2025 10:16:54)
2,254,C,1,1003, 	(26-FEB-2025 10:16:54)
2,254,C,1,1005, 	(26-FEB-2025 10:16:54)
2,254,C,1,1004, 	(26-FEB-2025 10:16:54)
2,207,C,1,1006, 	(26-FEB-2025 10:16:54)
2,207,C,1,1003, 	(26-FEB-2025 10:16:54)
