

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(09-APR-2025 19:51:24)
IRON & STEEL REWORKS,, 	(09-APR-2025 19:51:24)
ALUMINIUM,, 	(09-APR-2025 19:51:24)
FOUNDRIES/CASTINGS,, 	(09-APR-2025 19:51:24)
FERROUS ALLOYS,, 	(09-APR-2025 19:51:24)
METAL. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
CANDLE INDUSTRY,, 	(09-APR-2025 19:51:24)
MATCHES,, 	(09-APR-2025 19:51:24)
RUBBER TYRES & TUBES,, 	(09-APR-2025 19:51:24)
PAPER PRODUCTS,, 	(09-APR-2025 19:51:24)
INDU ABRASIVES,, 	(09-APR-2025 19:51:24)
GLASS/CERAMICS ETC,, 	(09-APR-2025 19:51:24)
PACKING MATERIALS,, 	(09-APR-2025 19:51:24)
PLASTIC INDUSTRIES,, 	(09-APR-2025 19:51:24)
LEATHER,, 	(09-APR-2025 19:51:24)
PROCESSOR,, 	(09-APR-2025 19:51:24)
TOBACCO PRODUCTS,, 	(09-APR-2025 19:51:24)
INDUS. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
COTTON MILLS HOSIERY,, 	(09-APR-2025 19:51:24)
JUTE MILLS,, 	(09-APR-2025 19:51:24)
SYN.FIBRE/RAYON MF,, 	(09-APR-2025 19:51:24)
TEXTI. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
PET.EXPLO&PROD,, 	(09-APR-2025 19:51:24)
IRON ORE,, 	(09-APR-2025 19:51:24)
COAL,, 	(09-APR-2025 19:51:24)
BAUXITE,, 	(09-APR-2025 19:51:24)
MANGANESE,, 	(09-APR-2025 19:51:24)
STONE QUARRYING,, 	(09-APR-2025 19:51:24)
MINING MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
POST & TELEGRAPHS,, 	(09-APR-2025 19:51:24)
STATE ELEC. BOARDS,, 	(09-APR-2025 19:51:24)
CATERING & HOTELS,, 	(09-APR-2025 19:51:24)
UNIVERSITIES ETC,, 	(09-APR-2025 19:51:24)
LAUNDRIES,, 	(09-APR-2025 19:51:24)
REFINERIES,, 	(09-APR-2025 19:51:24)
TPP-OIL,, 	(09-APR-2025 19:51:24)
HYDEL POWER PLANTS,, 	(09-APR-2025 19:51:24)
ATOMIC POWER PLANTS,, 	(09-APR-2025 19:51:24)
GAS TURBINES,, 	(09-APR-2025 19:51:24)
POWER MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
RAILWAYS,, 	(09-APR-2025 19:51:24)
OTHER ROAD TRANSPORT,, 	(09-APR-2025 19:51:24)
STATE ROAD TRANSPORT,, 	(09-APR-2025 19:51:24)
SHIP. COASTAL,, 	(09-APR-2025 19:51:24)
SHIP. INTERNATIONAL,, 	(09-APR-2025 19:51:24)
INLAND WATERWAYS,, 	(09-APR-2025 19:51:24)
OTHERS (PORT TRUST),, 	(09-APR-2025 19:51:24)
DOMESTIC DIST.,, 	(09-APR-2025 19:51:24)
INDUSTRIAL DIST.,, 	(09-APR-2025 19:51:24)
OWN CONSUMPTION,, 	(09-APR-2025 19:51:24)
PARALLEL MARKETERS,, 	(09-APR-2025 19:51:24)
TEA PLANTATION,, 	(09-APR-2025 19:51:24)
RUBBER/COFFEE ETC,, 	(09-APR-2025 19:51:24)
FORESTRY&TIMBER,, 	(09-APR-2025 19:51:24)
AGRI.CROPS/ORCHARD,, 	(09-APR-2025 19:51:24)
SUGAR MILLS,, 	(09-APR-2025 19:51:24)
FLOUR MILLS ETC,, 	(09-APR-2025 19:51:24)
VEG. OIL MILLS,, 	(09-APR-2025 19:51:24)
FOOD PROCESSING,, 	(09-APR-2025 19:51:24)
DAIRIES&MILK PROC,, 	(09-APR-2025 19:51:24)
FISHERIES,, 	(09-APR-2025 19:51:24)
AGRI. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
DOMESTIC AIRLINES,, 	(09-APR-2025 19:51:24)
FOREIGN AIRLINES,, 	(09-APR-2025 19:51:24)
DAIRIES&MILK PROC,, 	(09-APR-2025 19:51:24)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(09-APR-2025 19:51:24)
CAUSTIC SODA ETC.,, 	(09-APR-2025 19:51:24)
HEAVY ACIDS,, 	(09-APR-2025 19:51:24)
OTHER INORG.CHEM,, 	(09-APR-2025 19:51:24)
PETRO-CHEM OTHERS,, 	(09-APR-2025 19:51:24)
PETROCHEM -GAS BASED,, 	(09-APR-2025 19:51:24)
DYES & DYE STUFFS,, 	(09-APR-2025 19:51:24)
SYNTHETIC RUBBER,, 	(09-APR-2025 19:51:24)
PESTI./AGRO CHEM,, 	(09-APR-2025 19:51:24)
OTHER ORG.CHEMICAL,, 	(09-APR-2025 19:51:24)
DRUGS&PHARMACEUTICAL,, 	(09-APR-2025 19:51:24)
PAINTS ETC,, 	(09-APR-2025 19:51:24)
INDU EXPLOSIVE,, 	(09-APR-2025 19:51:24)
CALCINATION PLANTS,, 	(09-APR-2025 19:51:24)
SOAPS ETC,, 	(09-APR-2025 19:51:24)
MISC CHEM INDU,, 	(09-APR-2025 19:51:24)
CEMENT/BUILD MAT,, 	(09-APR-2025 19:51:24)
BITUMEN/BUILD.MAT,, 	(09-APR-2025 19:51:24)
CIVIL MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(09-APR-2025 19:51:24)
LDC,, 	(09-APR-2025 19:51:24)

TOTAL DATA IN EXCEL : ,97, 	(09-APR-2025 19:51:24)
 

TOTAL DATA INSERTED : ,96, 	(09-APR-2025 19:51:24)
 

TOTAL SKIPPED DATA ,1, 	(09-APR-2025 19:51:24)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(09-APR-2025 19:51:24)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(09-APR-2025 19:51:24)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(09-APR-2025 19:51:24)
ELLECTRICAL/ ELECTRONICS,, 	(09-APR-2025 19:51:24)
HEAVY MACHINES,, 	(09-APR-2025 19:51:24)
LIGHT MACHINES,, 	(09-APR-2025 19:51:24)
AIRCRAFTS,, 	(09-APR-2025 19:51:24)
SHIPBUILD. & REPAIRS,, 	(09-APR-2025 19:51:24)
TRUCKS&PASS VEHICALS,, 	(09-APR-2025 19:51:24)
SCOOTERS ETC,, 	(09-APR-2025 19:51:24)
HIGH PRESSURE VESSEL,, 	(09-APR-2025 19:51:24)
MECH. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
STRUCTURAL WORKS,, 	(09-APR-2025 19:51:24)
IRON & STEEL PLANTS,, 	(09-APR-2025 19:51:24)
IRON & STEEL REWORKS,, 	(09-APR-2025 19:51:24)
ALUMINIUM,, 	(09-APR-2025 19:51:24)
FOUNDRIES/CASTINGS,, 	(09-APR-2025 19:51:24)
FERROUS ALLOYS,, 	(09-APR-2025 19:51:24)
METAL. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
CANDLE INDUSTRY,, 	(09-APR-2025 19:51:24)
MATCHES,, 	(09-APR-2025 19:51:24)
RUBBER TYRES & TUBES,, 	(09-APR-2025 19:51:24)
PAPER PRODUCTS,, 	(09-APR-2025 19:51:24)
INDU ABRASIVES,, 	(09-APR-2025 19:51:24)
GLASS/CERAMICS ETC,, 	(09-APR-2025 19:51:24)
PACKING MATERIALS,, 	(09-APR-2025 19:51:24)
PLASTIC INDUSTRIES,, 	(09-APR-2025 19:51:24)
LEATHER,, 	(09-APR-2025 19:51:24)
PROCESSOR,, 	(09-APR-2025 19:51:24)
TOBACCO PRODUCTS,, 	(09-APR-2025 19:51:24)
INDUS. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
COTTON MILLS HOSIERY,, 	(09-APR-2025 19:51:24)
JUTE MILLS,, 	(09-APR-2025 19:51:24)
SYN.FIBRE/RAYON MF,, 	(09-APR-2025 19:51:24)
TEXTI. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
PET.EXPLO&PROD,, 	(09-APR-2025 19:51:24)
IRON ORE,, 	(09-APR-2025 19:51:24)
COAL,, 	(09-APR-2025 19:51:24)
BAUXITE,, 	(09-APR-2025 19:51:24)
MANGANESE,, 	(09-APR-2025 19:51:24)
STONE QUARRYING,, 	(09-APR-2025 19:51:24)
MINING MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
POST & TELEGRAPHS,, 	(09-APR-2025 19:51:24)
STATE ELEC. BOARDS,, 	(09-APR-2025 19:51:24)
CATERING & HOTELS,, 	(09-APR-2025 19:51:24)
UNIVERSITIES ETC,, 	(09-APR-2025 19:51:24)
LAUNDRIES,, 	(09-APR-2025 19:51:24)
REFINERIES,, 	(09-APR-2025 19:51:24)
TPP-OIL,, 	(09-APR-2025 19:51:24)
HYDEL POWER PLANTS,, 	(09-APR-2025 19:51:24)
ATOMIC POWER PLANTS,, 	(09-APR-2025 19:51:24)
GAS TURBINES,, 	(09-APR-2025 19:51:24)
POWER MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
RAILWAYS,, 	(09-APR-2025 19:51:24)
OTHER ROAD TRANSPORT,, 	(09-APR-2025 19:51:24)
STATE ROAD TRANSPORT,, 	(09-APR-2025 19:51:24)
SHIP. COASTAL,, 	(09-APR-2025 19:51:24)
SHIP. INTERNATIONAL,, 	(09-APR-2025 19:51:24)
INLAND WATERWAYS,, 	(09-APR-2025 19:51:24)
OTHERS (PORT TRUST),, 	(09-APR-2025 19:51:24)
DOMESTIC DIST.,, 	(09-APR-2025 19:51:24)
INDUSTRIAL DIST.,, 	(09-APR-2025 19:51:24)
OWN CONSUMPTION,, 	(09-APR-2025 19:51:24)
PARALLEL MARKETERS,, 	(09-APR-2025 19:51:24)
TEA PLANTATION,, 	(09-APR-2025 19:51:24)
RUBBER/COFFEE ETC,, 	(09-APR-2025 19:51:24)
FORESTRY&TIMBER,, 	(09-APR-2025 19:51:24)
AGRI.CROPS/ORCHARD,, 	(09-APR-2025 19:51:24)
SUGAR MILLS,, 	(09-APR-2025 19:51:24)
FLOUR MILLS ETC,, 	(09-APR-2025 19:51:24)
VEG. OIL MILLS,, 	(09-APR-2025 19:51:24)
FOOD PROCESSING,, 	(09-APR-2025 19:51:24)
DAIRIES&MILK PROC,, 	(09-APR-2025 19:51:24)
FISHERIES,, 	(09-APR-2025 19:51:24)
AGRI. MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
DOMESTIC AIRLINES,, 	(09-APR-2025 19:51:24)
FOREIGN AIRLINES,, 	(09-APR-2025 19:51:24)
FERTILISER-GAS BASED,, 	(09-APR-2025 19:51:24)
CAUSTIC SODA ETC.,, 	(09-APR-2025 19:51:24)
HEAVY ACIDS,, 	(09-APR-2025 19:51:24)
OTHER INORG.CHEM,, 	(09-APR-2025 19:51:24)
PETRO-CHEM OTHERS,, 	(09-APR-2025 19:51:24)
PETROCHEM -GAS BASED,, 	(09-APR-2025 19:51:24)
DYES & DYE STUFFS,, 	(09-APR-2025 19:51:24)
SYNTHETIC RUBBER,, 	(09-APR-2025 19:51:24)
PESTI./AGRO CHEM,, 	(09-APR-2025 19:51:24)
OTHER ORG.CHEMICAL,, 	(09-APR-2025 19:51:24)
DRUGS&PHARMACEUTICAL,, 	(09-APR-2025 19:51:24)
PAINTS ETC,, 	(09-APR-2025 19:51:24)
INDU EXPLOSIVE,, 	(09-APR-2025 19:51:24)
CALCINATION PLANTS,, 	(09-APR-2025 19:51:24)
SOAPS ETC,, 	(09-APR-2025 19:51:24)
MISC CHEM INDU,, 	(09-APR-2025 19:51:24)
CEMENT/BUILD MAT,, 	(09-APR-2025 19:51:24)
BITUMEN/BUILD.MAT,, 	(09-APR-2025 19:51:24)
CIVIL MISCELLANEOUS,, 	(09-APR-2025 19:51:24)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(09-APR-2025 19:51:24)
LDC,, 	(09-APR-2025 19:51:24)

TOTAL DATA IN EXCEL : ,97, 	(09-APR-2025 19:51:24)
 

TOTAL DATA INSERTED : ,96, 	(09-APR-2025 19:51:24)
 

TOTAL SKIPPED DATA ,0, 	(09-APR-2025 19:51:24)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(09-APR-2025 19:51:24)
 

