

<<START>>,<<FMS_METER_MST>>,,,,, 	(24-FEB-2025 14:50:25)
2 ,4 , Gail , 3 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 3 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 4 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 4 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 5 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 6 , R , 1, 	(24-FEB-2025 14:50:26)	 (Not Inserted)
2 ,4 , Gail , 7 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 7 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 8 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 8 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,4 , Gail , 9 , R , 1, 	(24-FEB-2025 14:50:26)	 (Not Inserted)
2 ,4 , Gail , 9 , R , 2, 	(24-FEB-2025 14:50:26)	 (Not Inserted)
2 ,53 , RGPL , 1 , R , 1, 	(24-FEB-2025 14:50:26)	 (Not Inserted)
2 ,53 , RGPL , 1 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 1 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 1 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 1 , R , 3, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 2 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 3 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 3 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 4 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 4 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 5 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 5 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 6 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 6 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 7 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 8 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,29 , PipeInfra , 8 , R , 2, 	(24-FEB-2025 14:50:26)
2 ,168 , GSIGLIM , 1 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,168 , GSIGLIM , 2 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,134 , GSINLIM , 1 , R , 1, 	(24-FEB-2025 14:50:26)
2 ,134 , GSINLIM , 1 , R , 2, 	(24-FEB-2025 14:50:26)

TOTAL DATA IN EXCEL : ,74,,,,, 	(24-FEB-2025 14:50:26)
 

TOTAL DATA INSERTED : ,53,,,,, 	(24-FEB-2025 14:50:26)
 

TOTAL SKIPPED DATA ,21,,,,, 	(24-FEB-2025 14:50:26)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(24-FEB-2025 14:50:26)
 
