

<<START>>,<<FMS_TRADER_CONT_PLANT>>,,,,,,, 	(04-JUN-2025 09:18:02)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,1, 0, 0,823016,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823017,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823018,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823019,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823020,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823021,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823022,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823023,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823024,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823025,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823026,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823027,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823028,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823029,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823030,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823031,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823032,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823033,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823034,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823035,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823036,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823037,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823038,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823039,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823040,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823041,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823042,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823043,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823044,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823045,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823046,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823047,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823048,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823049,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823050,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823051,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823052,4,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823016,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823017,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823018,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823019,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823020,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823021,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823022,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823023,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823024,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823025,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823026,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823027,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823028,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823029,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823030,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823031,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823032,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823033,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823034,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823035,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823036,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823037,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823038,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823039,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823040,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823041,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823042,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823043,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823044,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823045,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823046,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823047,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823048,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823049,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823050,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823051,3,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823052,3,1,D, 	(04-JUN-2025 09:18:02)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,2,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,null, , ,,,1,, 	(04-JUN-2025 09:18:02)	 (Not Inserted)
2,1, 0, 0,823016,2,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823017,2,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823018,2,1,D, 	(04-JUN-2025 09:18:02)
2,1, 0, 0,823019,2,1,D, 	(04-JUN-2025 09:18:02)
