
<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(05-JUN-2025 12:29:18)
AGP CGD,1,0,11,1,F, 	(05-JUN-2025 12:29:19)
AGP CGD,1,0,12,1,F, 	(05-JUN-2025 12:29:19)
AGP CGD,1,0,8,1,F, 	(05-JUN-2025 12:29:19)
AGP CGD,1,0,7,1,F, 	(05-JUN-2025 12:29:19)
AGP CGD,1,0,4,1,F, 	(05-JUN-2025 12:29:19)
AGP CGD,1,0,13,1,F, 	(05-JUN-2025 12:29:19)
AGP CGD,1,0,14,1,F, 	(05-JUN-2025 12:29:19)
AGP CGD,1,0,15,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,2,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,3,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,4,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,1,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,2,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,5,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,7,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,10,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,1,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,6,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,4,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,5,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,3,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,11,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,8,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,7,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,6,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,9,1,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,9,0,F, 	(05-JUN-2025 12:29:19)
MINDA,1,0,8,1,F, 	(05-JUN-2025 12:29:19)
LEIPL,1,0,1,0,F, 	(05-JUN-2025 12:29:19)
LEIPL,1,0,1,1,F, 	(05-JUN-2025 12:29:19)
LEIPL,1,0,3,1,F, 	(05-JUN-2025 12:29:19)
LEIPL,1,0,2,1,F, 	(05-JUN-2025 12:29:19)
LEIPL,1,0,2,0,F, 	(05-JUN-2025 12:29:19)
LEIPL,1,0,2,2,F, 	(05-JUN-2025 12:29:19)
LEIPL,1,0,3,0,F, 	(05-JUN-2025 12:29:19)
SCHOTT,1,0,1,0,F, 	(05-JUN-2025 12:29:19)
SCHOTT,1,0,2,0,F, 	(05-JUN-2025 12:29:19)
SCHOTT,1,0,2,1,F, 	(05-JUN-2025 12:29:19)
SCHOTT,1,0,1,1,F, 	(05-JUN-2025 12:29:19)
SCHOTT,1,0,1,2,F, 	(05-JUN-2025 12:29:19)
SCHOTT,1,0,2,2,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,2,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,1,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,2,1,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,1,1,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,8,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,9,1,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,3,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,4,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,4,1,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,6,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,7,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,3,1,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,5,0,F, 	(05-JUN-2025 12:29:19)
BIPL,1,0,9,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,3,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,1,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,2,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,1,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,2,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,4,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,7,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,8,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,9,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,8,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,10,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,13,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,14,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,13,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,12,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,11,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,6,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,10,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,3,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,5,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,6,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,9,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,11,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,4,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,7,0,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,5,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,14,1,F, 	(05-JUN-2025 12:29:19)
EXXARO,1,0,12,0,F, 	(05-JUN-2025 12:29:19)
KAJARIA,1,0,2,0,F, 	(05-JUN-2025 12:29:19)
KAJARIA,1,0,1,0,F, 	(05-JUN-2025 12:29:19)
KAJARIA,1,0,1,1,F, 	(05-JUN-2025 12:29:19)
KAJARIA,1,0,2,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,2,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,4,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,3,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,1,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,3,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,1,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,10,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,8,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,9,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,4,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,11,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,12,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,2,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,5,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,11,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,10,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,6,0,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,9,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,7,1,F, 	(05-JUN-2025 12:29:19)
JKPAPER,1,0,7,0,F, 	(05-JUN-2025 12:29:20)
JKPAPER,1,0,5,1,F, 	(05-JUN-2025 12:29:20)
JKPAPER,1,0,6,1,F, 	(05-JUN-2025 12:29:20)
JKPAPER,1,0,8,0,F, 	(05-JUN-2025 12:29:20)
JKPAPER,1,0,12,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,4,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,5,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,5,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,7,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,7,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,8,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,6,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,6,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,7,2,F, 	(05-JUN-2025 12:29:20)
STL,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,12,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,15,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,14,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,10,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,10,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,13,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,9,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,15,3,F, 	(05-JUN-2025 12:29:20)
STL,1,0,9,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,11,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,15,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,8,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,14,1,F, 	(05-JUN-2025 12:29:20)
STL,1,0,15,2,F, 	(05-JUN-2025 12:29:20)
STL,1,0,13,0,F, 	(05-JUN-2025 12:29:20)
STL,1,0,12,1,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,2,2,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,5,0,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,4,1,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,5,1,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,6,0,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,6,2,F, 	(05-JUN-2025 12:29:20)
CELLO,1,0,6,1,F, 	(05-JUN-2025 12:29:20)
BWRL,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
BWRL,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
BWRL,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
BWRL,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,10,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,11,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,12,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,13,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,8,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,12,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,6,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,7,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,8,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,9,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,9,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,8,2,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,7,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,6,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,11,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,10,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,5,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,4,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,5,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,14,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,15,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,14,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,20,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,15,1,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,17,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,18,0,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,15,2,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,15,3,F, 	(05-JUN-2025 12:29:20)
VIRGO,1,0,19,0,F, 	(05-JUN-2025 12:29:20)
GIPSKARTON,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
GIPSKARTON,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,6,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,7,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,7,1,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,5,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,9,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,11,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,8,0,F, 	(05-JUN-2025 12:29:20)
TGBPL,1,0,10,0,F, 	(05-JUN-2025 12:29:20)
IMCL,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
IMCL,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
IMCL,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
IMCL,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
GLIL,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
GLIL,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
GLIL,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
GLIL,1,0,2,2,F, 	(05-JUN-2025 12:29:20)
GLIL,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
GLIL,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
GLIL,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
SGI-AP,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
SGI-AP,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
HCGPUTE,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
HCGPUTE,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,5,0,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,4,1,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,6,0,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,7,0,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
COMFIND,1,0,5,1,F, 	(05-JUN-2025 12:29:20)
KINGASP,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
KINGASP,1,0,1,2,F, 	(05-JUN-2025 12:29:20)
KINGASP,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
KINGASP,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
KINGASP,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
KINGASP,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
KINGASP,1,0,5,0,F, 	(05-JUN-2025 12:29:20)
AGPCGIN,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
AGPCGIN,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
AGPCGIN,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
AGPCGIN,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
AGPCGIN,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
AGPCGIN,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
VISHPRI,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
VISHPRI,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
VISHPRI,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
VISHPRI,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
VISHPRI,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
VISHPRI,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
VISHPRI,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,3,0,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,1,0,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,2,0,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,4,1,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,4,0,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,1,1,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,2,1,F, 	(05-JUN-2025 12:29:20)
BHOGATD,1,0,3,1,F, 	(05-JUN-2025 12:29:20)
